,ID,dems,reps,
971,"971387237211533313	",8,0,8
973,"7743292	",8,0,8
983,"731470143444910080	",8,0,8
988,"86213867	",8,0,8
989,"862857312612044800	",8,0,8
991,"1080695666760929280	",8,0,8
994,"68898970	",8,0,8
997,"1037325069331169280	",8,0,8
1000,"2193135944	",8,0,8
1001,"41173731	",8,0,8
1003,"867581339746406401	",8,0,8
1004,"2591357336	",8,0,8
1005,"459565355	",8,0,8
1006,"106784613	",8,0,8
1012,"313467023	",8,0,8
1014,"817333964465729536	",8,0,8
1015,"920851175783542784	",8,0,8
1016,"201147289	",8,0,8
1018,"2828762322	",8,0,8
1021,"81939735	",8,0,8
1023,"22185506	",8,0,8
1025,"1059495656	",8,0,8
1026,"20288735	",8,0,8
1028,"16276307	",8,0,8
1031,"803593153521582080	",8,0,8
1033,"1240681	",8,0,8
1036,"900915316464766977	",8,0,8
1038,"2169122401	",8,0,8
1041,"563842752	",8,0,8
1042,"256600333	",8,0,8
1047,"980941320758988801	",8,0,8
1048,"755096123954651136	",8,0,8
1050,"1058862840486879232	",8,0,8
1051,"735515621165793280	",8,0,8
1052,"887507012795252736	",8,0,8
1053,"1056634891901767680	",8,0,8
1056,"1016423469062545409	",8,0,8
1059,"365444515	",8,0,8
1061,"580073682	",8,0,8
1065,"3670252994	",8,0,8
1074,"957775598062940160	",8,0,8
1076,"369248936	",8,0,8
1077,"14296270	",8,0,8
1078,"15684851	",8,0,8
1080,"2329812913	",8,0,8
1083,"975417232741330945	",8,0,8
1084,"2429763276	",8,0,8
1086,"1579639148	",8,0,8
1093,"929428645	",8,0,8
1095,"24870490	",8,0,8
1097,"242921623	",8,0,8
1104,"1022244468089606144	",8,0,8
1106,"2384589829	",8,0,8
1108,"1201759052	",8,0,8
1109,"17324944	",8,0,8
1114,"825717235977068545	",8,0,8
1115,"1042513408376139776	",8,0,8
1119,"1032653585148870657	",8,0,8
1121,"266170473	",8,0,8
1122,"48912281	",8,0,8
1123,"21892405	",8,0,8
1125,"26813767	",8,0,8
1133,"11829512	",8,0,8
1141,"28711359	",8,0,8
1142,"1033486659017265152	",8,0,8
1148,"1008833426261147650	",8,0,8
1149,"23014642	",8,0,8
1152,"66332186	",8,0,8
1155,"2731072181	",8,0,8
1158,"1029005944771014656	",8,0,8
1160,"979087419499663360	",8,0,8
1163,"246357149	",8,0,8
1164,"726677556	",8,0,8
1166,"407606770	",8,0,8
1168,"19078560	",8,0,8
1171,"1022683545234497536	",8,0,8
1173,"921871738027220992	",8,0,8
1176,"4088681525	",8,0,8
1178,"1874106846	",8,0,8
1184,"3031679981	",8,0,8
1192,"1678289870	",8,0,8
1194,"501220460	",8,0,8
1198,"48759424	",8,0,8
1200,"998704917601771526	",8,0,8
1201,"23677910	",8,0,8
1203,"354682355	",8,0,8
1204,"4644170814	",8,0,8
1205,"479872233	",8,0,8
1209,"988524542288187397	",8,0,8
1213,"967513628218867714	",8,0,8
1215,"1009827037568208896	",8,0,8
1217,"776178571786145793	",8,0,8
1218,"19040839	",8,0,8
1221,"25217108	",8,0,8
1223,"136164214	",8,0,8
1224,"983495718810857474	",8,0,8
1225,"34472721	",8,0,8
1228,"86830729	",8,0,8
1231,"44409040	",8,0,8
1233,"16050065	",8,0,8
1234,"21053150	",8,0,8
1239,"815798574437044224	",8,0,8
1240,"731493239836966913	",8,0,8
1241,"59060656	",8,0,8
1243,"82455956	",8,0,8
1245,"374266209	",8,0,8
1248,"1662943783	",8,0,8
1250,"34609790	",8,0,8
1253,"796524450627862529	",8,0,8
1254,"62194706	",8,0,8
1260,"466953226	",8,0,8
1262,"1252907875	",8,0,8
1263,"251118812	",8,0,8
1266,"241109025	",8,0,8
1269,"790657468560990208	",8,0,8
1272,"247100165	",8,0,8
1273,"976562816772722689	",8,0,8
1276,"41180730	",8,0,8
1277,"3224707173	",8,0,8
1280,"2309285172	",8,0,8
1282,"970495328150433794	",8,0,8
1285,"1243902714	",8,0,8
1286,"969699590709698562	",8,0,8
1289,"818573387161288705	",8,0,8
1291,"38111382	",8,0,8
1294,"938242137837199360	",8,0,8
1295,"835283718734561280	",8,0,8
1296,"1703575711	",8,0,8
1297,"2211370646	",8,0,8
1300,"108359920	",8,0,8
1302,"747865636060069888	",8,0,8
1303,"724461072325824513	",8,0,8
1309,"27943005	",8,0,8
1310,"189237956	",8,0,8
1311,"805471657422819328	",8,0,8
1313,"3092921	",8,0,8
1315,"1505926237	",8,0,8
1316,"869660647826628609	",8,0,8
1317,"738038707249287168	",8,0,8
1318,"44927531	",8,0,8
1319,"254344008	",8,0,8
1321,"3345238775	",8,0,8
1322,"49159747	",8,0,8
1323,"363814323	",8,0,8
1324,"1150120711	",8,0,8
1325,"844601832135671808	",8,0,8
1327,"812098370722529282	",8,0,8
1329,"131012155	",8,0,8
1330,"19225446	",8,0,8
1331,"1921155122	",8,0,8
1335,"33949856	",8,0,8
1336,"927793168459825152	",8,0,8
1346,"442272785	",8,0,8
1351,"2612046063	",8,0,8
1353,"743203075750453248	",8,0,8
1356,"823222333041217537	",8,0,8
1357,"4196533638	",8,0,8
1359,"949653078957023232	",8,0,8
1362,"929872507242344448	",8,0,8
1365,"898565402346827779	",8,0,8
1366,"327193460	",8,0,8
1368,"1604230496	",8,0,8
1370,"168774594	",8,0,8
1371,"788075355856773120	",8,0,8
1382,"943974193246425088	",8,0,8
1386,"123071061	",8,0,8
1389,"42961677	",8,0,8
1390,"17184213	",8,0,8
1391,"25464300	",8,0,8
1392,"781921082198597632	",8,0,8
1397,"346171723	",8,0,8
1398,"822595586050428928	",8,0,8
1401,"842813387230924810	",8,0,8
1402,"2339371028	",8,0,8
1416,"61555263	",8,0,8
1418,"2432155970	",8,0,8
1419,"121932578	",8,0,8
1420,"786260068106842112	",8,0,8
1425,"24952108	",8,0,8
1427,"21708729	",8,0,8
1429,"411083177	",8,0,8
1436,"878388861109387265	",8,0,8
1438,"818706038014607360	",8,0,8
1445,"803984530700910593	",8,0,8
1453,"374225300	",8,0,8
1454,"216336668	",8,0,8
1455,"759890626276122624	",8,0,8
1456,"823318360238723072	",8,0,8
1457,"2736737444	",8,0,8
1458,"2904520408	",8,0,8
1460,"222356933	",8,0,8
1467,"19410161	",8,0,8
1468,"58351787	",8,0,8
1469,"14860210	",8,0,8
1471,"1726702610	",8,0,8
1472,"266090983	",8,0,8
1474,"3573191833	",8,0,8
1476,"63796505	",8,0,8
1478,"1035787692	",8,0,8
1481,"4470038595	",8,0,8
1490,"824312957194551296	",8,0,8
1491,"1365990848	",8,0,8
1493,"826199999625195520	",8,0,8
1498,"2258208914	",8,0,8
1500,"2883509212	",8,0,8
1504,"911490129071456257	",8,0,8
